"sample_name","frame_name","phenotype_label","density_mm2","region_label"
"MEL2","2","CD8+ PD1-",290.82389057003,"Tumor"
"MEL2","7","CD8+ PD1-",72.6222501579168,"Tumor"
"MEL2","2","CD8+ PD1+",34.6218917345274,"Tumor"
"MEL2","7","CD8+ PD1+",72.6222501579168,"Tumor"
"MEL2","2","OTHER PDL1-",747.832861465791,"Tumor"
"MEL2","7","OTHER PDL1-",706.04965431308,"Tumor"
"MEL2","2","OTHER PDL1+",186.958215366448,"Tumor"
"MEL2","7","OTHER PDL1+",532.563167824723,"Tumor"
"MEL2","2","SOX10+ PDL1-",6287.33553899017,"Tumor"
"MEL2","7","SOX10+ PDL1-",4506.61407924406,"Tumor"
"MEL2","2","SOX10+ PDL1+",270.050755529314,"Tumor"
"MEL2","7","SOX10+ PDL1+",342.938403523496,"Tumor"
"MEL3","1","CD8+ PD1-",14.5165051142594,"Tumor"
"MEL3","2","CD8+ PD1-",13.1747687661834,"Tumor"
"MEL3","1","CD8+ PD1+",29.0330102285187,"Tumor"
"MEL3","2","CD8+ PD1+",61.482254242189,"Tumor"
"MEL3","1","OTHER PDL1-",208.069906637718,"Tumor"
"MEL3","2","OTHER PDL1-",127.356098073106,"Tumor"
"MEL3","1","OTHER PDL1+",4.83883503808645,"Tumor"
"MEL3","2","OTHER PDL1+",35.1327167098223,"Tumor"
"MEL3","1","SOX10+ PDL1-",6730.81953797826,"Tumor"
"MEL3","2","SOX10+ PDL1-",3969.99698820992,"Tumor"
"MEL3","1","SOX10+ PDL1+",1340.35730554995,"Tumor"
"MEL3","2","SOX10+ PDL1+",3548.40438769205,"Tumor"
"MEL2","2","CD8+ PD1-",586.232500188174,"Margin"
"MEL2","7","CD8+ PD1-",56.1553409184817,"Margin"
"MEL2","2","CD8+ PD1+",781.643333584232,"Margin"
"MEL2","7","CD8+ PD1+",102.95145835055,"Margin"
"MEL2","2","OTHER PDL1-",2593.63469780223,"Margin"
"MEL2","7","OTHER PDL1-",3051.10685657084,"Margin"
"MEL2","2","OTHER PDL1+",959.289545762467,"Margin"
"MEL2","7","OTHER PDL1+",645.78642056254,"Margin"
"MEL2","2","SOX10+ PDL1-",1971.8729551784,"Margin"
"MEL2","7","SOX10+ PDL1-",2583.14568225016,"Margin"
"MEL2","2","SOX10+ PDL1+",994.818788198114,"Margin"
"MEL2","7","SOX10+ PDL1+",336.93204551089,"Margin"
"MEL3","1","CD8+ PD1-",291.597810185359,"Margin"
"MEL3","2","CD8+ PD1-",322.922933136882,"Margin"
"MEL3","1","CD8+ PD1+",223.558321142108,"Margin"
"MEL3","2","CD8+ PD1+",306.776786480038,"Margin"
"MEL3","1","OTHER PDL1-",2293.90277345816,"Margin"
"MEL3","2","OTHER PDL1-",2922.45254488878,"Margin"
"MEL3","1","OTHER PDL1+",398.517007253324,"Margin"
"MEL3","2","OTHER PDL1+",758.868892871672,"Margin"
"MEL3","1","SOX10+ PDL1-",3178.41613102041,"Margin"
"MEL3","2","SOX10+ PDL1-",1485.44549242966,"Margin"
"MEL3","1","SOX10+ PDL1+",2400.82197052612,"Margin"
"MEL3","2","SOX10+ PDL1+",3616.73685113307,"Margin"
