"sample_name","phenotype_label","mean_density_mm2","measured_count","frame_count","stddev_density_mm2","stderr_density_mm2","region_label"
"MEL2","CD8+ PD1-",181.723070363973,2,2,154.291859601434,109.100820206057,"Tumor"
"MEL2","CD8+ PD1+",53.6220709462221,2,2,26.870311128698,19.0001792116947,"Tumor"
"MEL2","OTHER PDL1-",726.941257889436,2,2,29.5451891174046,20.8916035763557,"Tumor"
"MEL2","OTHER PDL1+",359.760691595586,2,2,244.379605494901,172.802476229138,"Tumor"
"MEL2","SOX10+ PDL1-",5396.97480911712,2,2,1259.16021959088,890.360729873057,"Tumor"
"MEL2","SOX10+ PDL1+",306.494579526405,2,2,51.5393501614245,36.4438239970912,"Tumor"
"MEL3","CD8+ PD1-",13.8456369402214,2,2,0.948750870289019,0.670868174038004,"Tumor"
"MEL3","CD8+ PD1+",45.2576322353539,2,2,22.9450804864432,16.2246220068351,"Tumor"
"MEL3","OTHER PDL1-",167.713002355412,2,2,57.0732813714298,40.3569042823059,"Tumor"
"MEL3","OTHER PDL1+",19.9857758739544,2,2,21.4210091585473,15.1469408358679,"Tumor"
"MEL3","SOX10+ PDL1-",5350.40826309409,2,2,1952.19634659393,1380.41127488417,"Tumor"
"MEL3","SOX10+ PDL1+",2444.380846621,2,2,1561.32506496185,1104.02354107105,"Tumor"
"MEL2","CD8+ PD1-",321.193920553328,2,2,374.821153871701,265.038579634846,"Margin"
"MEL2","CD8+ PD1+",442.297395967391,2,2,479.907627313951,339.345937616841,"Margin"
"MEL2","OTHER PDL1-",2822.37077718653,2,2,323.481665669337,228.736079384307,"Margin"
"MEL2","OTHER PDL1+",802.537983162503,2,2,221.680185752044,156.751562599964,"Margin"
"MEL2","SOX10+ PDL1-",2277.50931871428,2,2,432.235090466832,305.636363535877,"Margin"
"MEL2","SOX10+ PDL1+",665.875416854502,2,2,465.196177006865,328.943371343612,"Margin"
"MEL3","CD8+ PD1-",307.26037166112,2,2,22.1502068605241,15.6625614757614,"Margin"
"MEL3","CD8+ PD1+",265.167553811073,2,2,58.8443411603873,41.6092326689645,"Margin"
"MEL3","OTHER PDL1-",2608.17765917347,2,2,444.451805691848,314.274885715311,"Margin"
"MEL3","OTHER PDL1+",578.692950062498,2,2,254.807261934093,180.175942809174,"Margin"
"MEL3","SOX10+ PDL1-",2331.93081172503,2,2,1197.11101889724,846.485319295377,"Margin"
"MEL3","SOX10+ PDL1+",3008.7794108296,2,2,859.781657422807,607.957440303476,"Margin"
